match_id,date,kickoff_time_utc,stage_id,venue_id,home_team_id,away_team_id,home_score,away_score,home_penalty_score,away_penalty_score,status,result_type,home_xg,away_xg,referee_id,player_of_the_match_id,stage_name,home_source_match_id,away_source_match_id,home_source_type,away_source_type,notes
1,2026-06-11,19:00,1,1.0,1.0,2.0,2.0,0.0,,,Completed,Regular,1.84,0.52,1.0,16.0,,,,,,
2,2026-06-11,23:00,1,7.0,3.0,4.0,2.0,1.0,,,Completed,Regular,1.45,1.12,2.0,58.0,,,,,,
3,2026-06-12,19:00,1,6.0,5.0,6.0,1.0,1.0,,,Completed,Regular,1.35,0.98,3.0,112.0,,,,,,
4,2026-06-12,23:00,1,3.0,13.0,14.0,4.0,1.0,,,Completed,Regular,2.76,0.88,4.0,332.0,,,,,,
5,2026-06-13,15:00,1,10.0,7.0,8.0,1.0,1.0,,,Completed,Regular,0.78,1.54,5.0,157.0,,,,,,
6,2026-06-13,18:00,1,2.0,9.0,10.0,1.0,1.0,,,Completed,Regular,1.62,1.1,6.0,215.0,,,,,,
7,2026-06-13,21:00,1,14.0,11.0,12.0,0.0,1.0,,,Completed,Regular,1.25,0.65,7.0,293.0,,,,,,
8,2026-06-13,23:59,1,16.0,15.0,16.0,2.0,0.0,,,Completed,Regular,1.48,0.72,8.0,381.0,,,,,,
9,2026-06-14,15:00,1,9.0,17.0,18.0,7.0,1.0,,,Completed,Regular,4.82,0.44,9.0,423.0,,,,,,
10,2026-06-14,18:00,1,15.0,21.0,22.0,2.0,2.0,,,Completed,Regular,1.95,1.82,10.0,524.0,,,,,,
11,2026-06-14,21:00,1,11.0,19.0,20.0,1.0,0.0,,,Completed,Regular,1.1,0.95,11.0,479.0,,,,,,
12,2026-06-14,23:59,1,12.0,23.0,24.0,5.0,1.0,,,Completed,Regular,3.12,0.78,12.0,581.0,,,,,,
13,2026-06-15,15:00,1,13.0,29.0,30.0,0.0,0.0,,,Completed,Regular,2.15,0.35,13.0,755.0,,,,,,
14,2026-06-15,18:00,1,4.0,25.0,26.0,1.0,1.0,,,Completed,Regular,1.58,1.12,14.0,658.0,,,,,,
15,2026-06-15,21:00,1,8.0,31.0,32.0,1.0,1.0,,,Completed,Regular,0.85,1.76,15.0,801.0,,,,,,
16,2026-06-15,23:59,1,5.0,27.0,28.0,2.0,2.0,,,Completed,Regular,1.88,1.2,16.0,699.0,,,,,,
17,2026-06-16,15:00,1,2.0,33.0,34.0,3.0,1.0,,,Completed,Regular,2.44,1.05,1.0,843.0,,,,,,
18,2026-06-16,18:00,1,10.0,35.0,36.0,1.0,4.0,,,Completed,Regular,0.68,2.85,2.0,919.0,,,,,,
19,2026-06-16,21:00,1,3.0,37.0,38.0,3.0,0.0,,,Completed,Regular,2.65,0.42,3.0,946.0,,,,,,
20,2026-06-16,23:59,1,15.0,39.0,40.0,3.0,1.0,,,Completed,Regular,1.98,0.88,4.0,1023.0,,,,,,
21,2026-06-17,15:00,1,9.0,41.0,42.0,1.0,1.0,,,Completed,Regular,1.78,1.15,5.0,1055.0,,,,,,
22,2026-06-17,18:00,1,13.0,45.0,46.0,4.0,2.0,,,Completed,Regular,2.92,1.64,6.0,1153.0,,,,,,
23,2026-06-17,21:00,1,11.0,47.0,48.0,1.0,0.0,,,Completed,Regular,1.3,0.75,7.0,1207.0,,,,,,
24,2026-06-17,23:59,1,16.0,43.0,44.0,1.0,3.0,,,Completed,Regular,0.95,2.1,8.0,1125.0,,,,,,
25,2026-06-18,15:00,1,9.0,1.0,3.0,1.0,0.0,,,Completed,Regular,1.62,0.58,9.0,7.0,,,,,,
26,2026-06-18,18:00,1,3.0,4.0,2.0,1.0,1.0,,,Completed,Regular,1.35,1.15,10.0,96.0,,,,,,
27,2026-06-18,21:00,1,5.0,5.0,7.0,6.0,0.0,,,Completed,Regular,3.82,0.22,11.0,114.0,,,,,,
28,2026-06-18,23:59,1,1.0,8.0,6.0,4.0,1.0,,,Completed,Regular,2.45,0.88,12.0,191.0,,,,,,
29,2026-06-19,15:00,1,2.0,9.0,11.0,3.0,0.0,,,Completed,Regular,1.16,0.9,13.0,217.0,,,,,,
30,2026-06-19,18:00,1,4.0,12.0,10.0,0.0,1.0,,,Completed,Regular,0.97,0.54,14.0,245.0,,,,,,
31,2026-06-19,21:00,1,6.0,13.0,15.0,2.0,0.0,,,Completed,Regular,1.21,0.32,15.0,332.0,,,,,,
32,2026-06-19,23:59,1,8.0,16.0,14.0,0.0,1.0,,,Completed,Regular,0.4,0.3,16.0,361.0,,,,,,
33,2026-06-20,15:00,1,10.0,17.0,19.0,2.0,1.0,,,Completed,Regular,1.85,0.72,1.0,442.0,,,,,,
34,2026-06-20,18:00,1,12.0,20.0,18.0,0.0,0.0,,,Completed,Regular,1.92,0.08,2.0,443.0,,,,,,
